Project ID,Site Location,Project Status,Material Cost,Labor Hours,Project Progress,Report Date
P001,Site A,In Progress,150000.0,2500.0,75%,2024-01-15
P002,Site B,Completed,120000.0,1800.0,100%,2023-12-01
P003,Site C,Delayed,200000.0,3000.0,50%,2024-01-20
P004,Site A,In Progress,160000.0,2600.0,80%,2024-01-20
P005,Site D,Completed,110000.0,1700.0,100%,2023-11-15
P001,Site A,In Progress,155000.0,2550.0,78%,2024-01-22
P006,Site B,In Progress,130000.0,2000.0,60%,2024-02-01
P007,Site E,Delayed,220000.0,3200.0,45%,2024-02-05
P008,Site C,Completed,190000.0,2800.0,100%,2024-01-25
P009,Site A,In Progress,170000.0,2700.0,85%,2024-02-10
P010,Site D,In Progress,100000.0,1500.0,90%,2024-02-15
P002,Site B,Completed,120000.0,1800.0,100%,2023-12-01
P011,Site F,In Progress,180000.0,2900.0,70%,2024-03-01
P012,Site E,Completed,210000.0,3100.0,100%,2024-02-28
P003,Site C,DELAYED,205000.0,3050.0,55%,2024-02-20
P013,Site A,In Progress,140000.0,2400.0,72%,2024-03-05
P014,Site G,Completed,90000.0,1400.0,100%,2024-01-10
P015,Site H,In Progress,230000.0,3500.0,40%,2024-03-10
P001,Site A,In Progress,160000.0,2600.0,82%,2024-03-10
P016,Site B,In Progress,,2100.0,65%,2024-03-15
P017,Site C,Completed,200000.0,2900.0,100%,2024-02-15
P018,Site D,In Progress,115000.0,,92%,2024-03-20
P019,Site E,DELAYED,225000.0,3300.0,48%,2024-03-25
P020,Site F,Completed,190000.0,3000.0,100%,2024-03-30
P004,Site A,IN PROGRESS,165000.0,2650.0,83%,2024-03-22
P021,Site G,In Progress,95000.0,1450.0,95%,2024-04-01
P022,Site H,In Progress,240000.0,3600.0,42%,2024-04-05
P023,Site A,Completed,175000.0,2750.0,100%,2024-04-10
P024,Site B,In Progress,135000.0,2050.0,68%,2024-04-15
P005,Site D,COMPLETED,110000.0,1700.0,100%,2023-11-15
P025,Site C,In Progress,210000.0,3100.0,58%,2024-04-20
P026,Site E,COMPLETED,230000.0,3400.0,100%,2024-04-25
P027,Site F,DELAYED,195000.0,3050.0,72%,2024-04-30
P028,Site G,In Progress,100000.0,1500.0,98%,2024-05-01
P029,Site H,In Progress,250000.0,3700.0,45%,2024-05-05
P030,Site A,In Progress,180000.0,2800.0,88%,2024-05-10
P006,Site B,IN PROGRESS,130000.0,2000.0,60%,2024-02-01
P031,Site D,Completed,120000.0,1800.0,100%,2024-05-15
P032,Site C,In Progress,215000.0,3150.0,62%,2024-05-20
P033,Site E,In Progress,235000.0,3450.0,80%,2024-05-25
P034,Site F,DELAYED,200000.0,3100.0,75%,2024-05-30
P035,Site G,Completed,105000.0,1600.0,100%,2024-06-01
P036,Site H,In Progress,260000.0,3800.0,50%,2024-06-05
P037,Site A,COMPLETED,185000.0,2850.0,100%,2024-06-10
P007,Site E,Delayed,220000.0,3200.0,45%,2024-02-05
P038,Site B,In Progress,140000.0,2100.0,70%,2024-06-15
P039,Site D,In Progress,125000.0,1900.0,95%,2024-06-20
P040,Site C,In Progress,220000.0,3200.0,65%,2024-06-25
P041,Site E,In Progress,240000.0,3500.0,85%,2024-06-30
P042,Site F,COMPLETED,205000.0,3150.0,100%,2024-07-01
P043,Site G,In Progress,110000.0,1650.0,90%,2024-07-05
P044,Site H,Delayed,270000.0,3900.0,55%,2024-07-10
P008,Site C,Completed,190000.0,2800.0,100%,2024-01-25
P045,Site A,In Progress,190000.0,2900.0,90%,2024-07-15
P046,Site B,COMPLETED,145000.0,2150.0,100%,2024-07-20
P047,Site D,In Progress,130000.0,1950.0,98%,2024-07-25
P048,Site C,DELAYED,225000.0,3250.0,68%,2024-07-30
P049,Site E,In Progress,245000.0,3550.0,88%,2024-08-01
P050,Site F,In Progress,210000.0,3200.0,78%,2024-08-05
P009,Site A,IN PROGRESS,170000.0,2700.0,85%,2024-02-10
P051,Site G,Completed,115000.0,1700.0,100%,2024-08-10
P052,Site H,In Progress,280000.0,4000.0,60%,2024-08-15
P053,Site A,In Progress,195000.0,2950.0,92%,2024-08-20
P054,Site B,In Progress,150000.0,2200.0,72%,2024-08-25
P055,Site D,COMPLETED,135000.0,2000.0,100%,2024-08-30
P056,Site C,In Progress,230000.0,3300.0,70%,2024-09-01
P057,Site E,COMPLETED,250000.0,3600.0,100%,2024-09-05
P058,Site F,In Progress,215000.0,3250.0,80%,2024-09-10
P059,Site G,DELAYED,120000.0,1750.0,95%,2024-09-15
P060,Site H,In Progress,290000.0,4100.0,65%,2024-09-20
P010,Site D,IN PROGRESS,100000.0,1500.0,90%,2024-02-15
P061,Site A,In Progress,200000.0,3000.0,95%,2024-09-25
P062,Site B,Completed,155000.0,2250.0,100%,2024-09-30
P063,Site D,In Progress,140000.0,2050.0,99%,2024-10-01
P064,Site C,In Progress,235000.0,3350.0,72%,2024-10-05
P065,Site E,In Progress,255000.0,3650.0,90%,2024-10-10
P066,Site F,COMPLETED,220000.0,3300.0,100%,2024-10-15
P067,Site G,In Progress,125000.0,1800.0,98%,2024-10-20
P068,Site H,In Progress,300000.0,4200.0,70%,2024-10-25
P011,Site F,IN PROGRESS,180000.0,2900.0,70%,2024-03-01
P069,Site A,Completed,205000.0,3050.0,100%,2024-10-30
P070,Site B,In Progress,160000.0,2300.0,75%,2024-11-01
P071,Site D,In Progress,145000.0,2100.0,99%,2024-11-05
P072,Site C,DELAYED,240000.0,3400.0,75%,2024-11-10
P073,Site E,In Progress,260000.0,3700.0,92%,2024-11-15
P074,Site F,In Progress,225000.0,3350.0,82%,2024-11-20
P075,Site G,COMPLETED,130000.0,1850.0,100%,2024-11-25
P076,Site H,In Progress,310000.0,4300.0,75%,2024-11-30
P012,Site E,COMPLETED,210000.0,3100.0,100%,2024-02-28
P077,Site A,In Progress,210000.0,3100.0,98%,2024-12-01
P078,Site B,In Progress,165000.0,2350.0,78%,2024-12-05
P079,Site D,Completed,150000.0,2150.0,100%,2024-12-10
P080,Site C,In Progress,245000.0,3450.0,78%,2024-12-15
P081,Site E,COMPLETED,265000.0,3750.0,100%,2024-12-20
P082,Site F,In Progress,230000.0,3400.0,85%,2024-12-25
P083,Site G,In Progress,135000.0,1900.0,99%,2024-12-30
P084,Site H,DELAYED,320000.0,4400.0,80%,2025-01-01
P013,Site A,IN PROGRESS,140000.0,2400.0,72%,2024-03-05
P085,Site A,In Progress,215000.0,3150.0,99%,2025-01-05
P086,Site B,Completed,170000.0,2400.0,100%,2025-01-10
P087,Site D,In Progress,155000.0,2200.0,99%,2025-01-15
P088,Site C,Completed,250000.0,3500.0,100%,2025-01-20
P089,Site E,In Progress,270000.0,3800.0,95%,2025-01-25
P090,Site F,COMPLETED,235000.0,3450.0,100%,2025-01-30
P091,Site G,In Progress,140000.0,1950.0,99%,2025-02-01
P092,Site H,In Progress,330000.0,4500.0,85%,2025-02-05
P014,Site G,COMPLETED,90000.0,1400.0,100%,2024-01-10
P093,Site A,DELAYED,220000.0,3200.0,80%,2025-02-10
P094,Site B,In Progress,175000.0,2450.0,80%,2025-02-15
P095,Site D,In Progress,160000.0,2250.0,99%,2025-02-20
P096,Site C,COMPLETED,255000.0,3550.0,100%,2025-02-25
P097,Site E,In Progress,275000.0,3850.0,98%,2025-03-01
P098,Site F,In Progress,240000.0,3500.0,88%,2025-03-05
P099,Site G,COMPLETED,145000.0,2000.0,100%,2025-03-10
P100,Site H,In Progress,340000.0,4600.0,90%,2025-03-15
P015,Site H,IN PROGRESS,230000.0,3500.0,40%,2024-03-10
